miR,GSM1021014,GSM1021015,GSM1021016,GSM1021017,GSM1021019,GSM1021020,GSM1021021,GSM1021022,GSM1021023,GSM1021024,GSM1021026,GSM1021038,GSM1021039,GSM1021040,GSM1021042,GSM1021043,GSM1021044,GSM1021045,GSM1021046,GSM1021047,GSM1021048,GSM1021049,GSM1021051,GSM1021052,GSM1021055,GSM1021060,GSM1021061,GSM1021062,GSM1021063,GSM1021064,GSM1021065,GSM1021067,GSM1021069,GSM1021070,GSM1021071,GSM1021072,GSM1021073,GSM1021078,GSM1021080,GSM1021082,GSM1021083,GSM1021084,GSM1021086,GSM1021087
bkv-miR-B1-3p,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0.493243553,0,0,0,0,0,2.662512674,0,0,0,0,0,0.000210173,0.000688884,0,0,0,0,0
bkv-miR-B1-5p,0,0.000469439,0.299228919,0,0,0,0,0,0,0,0,0,0,2.28768034,0.945821902,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0.60854242,0,0,0,0,0,0,0,0,0,0,0,1.554635774,0.000210173,0.000688884,0,0,0,0,0.855883373
ebv-miR-BART1-3p,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0.132820732,0,0.057405966,0,0,0.110023335,0,0,0,0,0.000210173,0.000688884,0,2.037535075,0,0,0
ebv-miR-BART1-5p,0,0.000469439,0,0,0,0.160465189,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,3.884994217,0.43464783,0.18578794,0,0,2.200478379,1.834923617,2.28768034,1.27734253,0,0.000210173,0.000688884,0,0,0,0.345657928,0
ebv-miR-BART10,0,0.000469439,0,0,0,0.071275277,0,0,0.28351289,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,1.230321306,0,1.415237303,0.064710164,0,0,0.636201884,0,0,0,0.019985412,0,0,0.000210173,0.000688884,0.667265724,0.773683463,0,0,0
ebv-miR-BART10*,1.943023464,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.335273767,0.000469439,0.000210173,2.37E-05,1.312643421,0.001629967,0.000104359,0,0,0,0.972575963,0,1.955894582,0,1.760060413,0,0,0,0.143542874,0,0,0.000210173,0.000688884,0,0,0,1.360079356,0
ebv-miR-BART11-3p,0,0.000469439,0,0,0,0.149026837,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210173,0.000688884,0,0,0,0.564571306,0
ebv-miR-BART11-5p,1.427961028,0.000469439,0.689067049,0,0,0.44702054,0.493243553,0,1.501420083,0,0.402101838,0,0,0,0.667265724,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,1.042503778,0,0.924313215,2.61236207,0,3.98193863,0,0,1.981381985,0.645995406,3.372814876,0,0,0.000210173,0.000688884,0.590355018,0.69873471,0.278261267,0.876556614,0
ebv-miR-BART12,2.370657099,2.849598651,3.166519652,3.570606843,3.09097306,4.021781361,2.953166176,3.182340094,2.062622329,2.662512674,2.118586816,3.438166393,3.83004867,3.119354194,3.604510202,3.688968135,2.274756668,1.928823294,1.721255835,2.743730537,2.489484758,2.230782238,2.629382005,2.461688915,0,4.063364105,3.604510202,3.372814876,3.491563956,3.076165078,3.688968135,2.38360787,3.473839342,1.566691648,3.604510202,2.808936121,1.673018732,1.62121968,2.776053194,1.130694699,4.279327522,4.124833952,1.834923617,1.733143855
ebv-miR-BART13,3.724778413,4.974950586,3.570606843,3.272466251,3.210999858,5.089669711,4.350156542,3.586921049,2.808936121,3.604510202,3.456623181,3.291632065,3.325885189,3.923131844,3.09097306,3.554392902,3.405507913,3.356426099,2.837117046,3.076165078,3.325885189,3.291632065,3.473839342,2.953166176,2.61236207,1.439870071,0.070438457,0.355871213,0,0,0,2.050500585,0,2.726303974,0,0,3.029934937,2.726303974,2.534191149,0.737558317,0,0.226898097,3.257059712,3.619077465
